a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260107.1-1
accounts-qml-module 0.7-7
accountsservice 26.13.3-1
acl 2.3.2-2
act 0.2.88-1
ada 3.4.4-1
adw-gtk-theme-git 6.5.r2.gde0d168-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
aegisub 3.4.2-8
alsa-card-profiles 1:1.6.4-1
alsa-lib 1.2.15.3-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
alsa-utils 1.2.15.2-2
aom 3.13.3-1
appstream 1.1.2-1
appstream-qt 1.1.2-1
aquamarine 0.11.0-2
aquamarine-git-debug 0.10.0.r30.gf62a4db-1
archivetools 5-1
archlinux-keyring 20260420-1
ardour 9.2-3
arduino-cli 1.4.1-1
arduino-ide-bin 2.3.8-1
