adw-gtk-theme-git 6.5.r2.gde0d168-1
aquamarine-git-debug 0.10.0.r30.gf62a4db-1
arduino-ide-bin 2.3.8-1
auto-cpufreq 3.0.0-3
breeze-plus 6.2.5-1
brother-brgenml1 3.1.0_1-3
brother-brgenml1-debug 3.1.0_1-3
brother-dcpl2540dw-cups 3.2.0_1-4
brother-dcpl2540dw-lpr 3.2.0_1-3
brother-dcpl2540dw-lpr-debug 3.2.0_1-3
brother-dcpl2640dw 4.1.0_1-1
brother-dcpl2640dw-debug 4.1.0_1-1
brscan4 0.4.11_1-5
brscan4-debug 0.4.11_1-5
chaotic-keyring 20251028-1
chaotic-mirrorlist 20260403-1
cogl 1.22.8-5
cogl-debug 1.22.8-5
coursier-bin 2.1.24-1
coursier-bin-debug 2.1.24-1
cpptrace 1.0.4-1
cpptrace-debug 1.0.4-1
darkly-bin 0.5.37-1
darkly-bin-debug 0.5.30-1
eclipse-jee-bin 2:4.39-3
gnome-shell-extension-power-profile-switcher-git r254.16c4573-1
gofetch 0.1.0-1
gofetch-debug 0.1.0-1
gofetch-git-debug r57.5bd5ace-1
google-breakpad v2024.02.16-2
gotop 4.2.0-3
gotop-debug 4.2.0-3
gtk2 2.24.33-5
gtk2-debug 2.24.33-5
html2markdown 2.5.0-1
html2markdown-debug 2.5.0-1
hyprgraphics-git-debug 0.5.0.r7.g7d63c04-1
hyprlang-git-debug 0.6.8.r5.g7615ee3-1
hyprtoolkit-git-debug 0.5.3.r15.g9af245a-1
hyprutils-git-debug 0.11.1.r2.g762166b-1
hyprwayland-scanner-git-debug 0.4.5.r5.g0a692d4-1
illogical-impulse-audio 1.0-2
illogical-impulse-backlight 1.0-1
illogical-impulse-basic 1.0-1
illogical-impulse-bibata-modern-classic-bin 2.0.7-1
illogical-impulse-fonts-themes 1.0-1
illogical-impulse-hyprland 1.0-4
illogical-impulse-kde 1.0-2
illogical-impulse-microtex-git r494.0e3707f-1
illogical-impulse-microtex-git-debug r494.0e3707f-1
illogical-impulse-portal 1.0-2
illogical-impulse-python 1.0-1
illogical-impulse-quickshell-git 0.1.0.r1-6
illogical-impulse-screencapture 1.0-1
illogical-impulse-toolkit 1.0-1
illogical-impulse-widgets 1.0-6
insomnia 12.5.0-1
insomnia-debug 12.5.0-1
intellij-idea-ultimate-edition 2026.1.1-1
ipp-usb-git-debug 0.9.30.r44.g88a5328-1
jellyfin-desktop-debug 2.0.0-2
jetbrains-toolbox 3.4.3.81140-1
karton git20260123-1
karton-debug git20260123-1
kde-material-you-colors 2.2.0-1
kde-material-you-colors-debug 2.2.0-1
matugen-bin 4.1.0-1
matugen-bin-debug 4.1.0-1
mcpelauncher-linux 1.7.4-1
mcpelauncher-linux-debug 1.7.4-1
mcpelauncher-ui 1.7.4-1
mcpelauncher-ui-debug 1.7.4-1
moc-pulse 2.5.2-17
moc-pulse-debug 2.5.2-17
neofetch 7.1.0-2
ngrok 3.39.1-1
onlyoffice-bin 9.3.1-1
otf-space-grotesk 2-2
paru 2.1.0-2
paru-debug 2.1.0-2
pipes.sh 1.3.0-1
postman-bin 12.9.0-1
praxis-live-bin 6.4.0-1
python-materialyoucolor 3.0.2-1
python-materialyoucolor-debug 3.0.2-1
python-pywal16 1:3.8.15-1
qt6-avif-image-plugin 0.10.1-1
scala 2.13.16-1
scala-cli 1.13.0-1
scala-docs 2.13.16-1
scala-sources 2.13.16-1
sddm-theme-tokyo-night-git r6.320c8e7-2
termius 9.36.2-1
termius-debug 9.36.2-1
ttf-gabarito-git v1.000.r8.g1f3fb39-1
ttf-material-symbols-variable-git 4.0.0.r152.g229d4d6d-1
ttf-meslo-nerd-font-powerlevel10k 2.3.3-1
ttf-readex-pro 1.204-2
ttf-rubik-vf 2.3.0-3
ttf-twemoji 17.0.2-3
upscayl-bin 2.15.0-8
visual-studio-code-bin 1.119.0-1
vscodium-bin-debug 1.107.18605-1
webkit2gtk 2.50.6-1
whatsdesk-bin 0.3.12-1
whatsdesk-bin-debug 0.3.12-1
wireguard-go-git 0.0.20250522.r0.gf333402-3
wireguard-go-git-debug 0.0.20250522.r0.gf333402-3
wireguard-gui-bin 0.1.8-5
wireguard-gui-bin-debug 0.1.8-5
wireguard-ui 0.6.2-11
wlogout 1.2.2-0
wlogout-debug 1.2.2-0
yay 12.5.7-1
yay-debug 12.5.7-1
